,open,high,low,close,volume,value,middleBand,upperBand,sellingPrice,prevHigh,prevMiddle,prevClose,prevSellingPrice,isBuying,isSelling,ror
2024-03-22 18:02:00,14910.0,14930.0,14900.0,14910.0,3890.63226423,57985225.611573,14959.0,15058.662588662683,15048.696329796414,14930.0,14964.5,14930.0,15054.873435780302,False,False,1.0
2024-03-22 18:03:00,14910.0,14940.0,14900.0,14930.0,875.190199,13064688.5844311,14956.0,15055.34522476803,15045.410702291229,14930.0,14959.0,14910.0,15048.696329796414,False,False,1.0
2024-03-22 18:04:00,14930.0,14930.0,14900.0,14920.0,1158.81066612,17276669.0626569,14953.0,15052.91575398673,15042.924178588057,14940.0,14956.0,14930.0,15045.410702291229,False,False,1.0
2024-03-22 18:05:00,14890.0,14920.0,14890.0,14920.0,3661.71467709,54527947.4493947,14949.5,15048.861117037539,15038.925005333786,14930.0,14953.0,14920.0,15042.924178588057,False,False,1.0
2024-03-22 18:06:00,14920.0,14920.0,14890.0,14890.0,1265.50834821,18876273.1104882,14942.5,15037.61765567471,15028.10589010724,14920.0,14949.5,14920.0,15038.925005333786,False,False,1.0
2024-03-22 18:07:00,14890.0,14890.0,14880.0,14880.0,1684.0824281,25070860.7950453,14935.0,15024.560329563814,15015.604296607433,14920.0,14942.5,14890.0,15028.10589010724,False,False,1.0
2024-03-22 18:08:00,14890.0,14890.0,14870.0,14870.0,3722.62542555,55380798.5659574,14927.5,15012.073232047425,15003.615908842683,14890.0,14935.0,14880.0,15015.604296607433,False,False,1.0
2024-03-22 18:09:00,14870.0,14900.0,14870.0,14900.0,448.33554316,6675710.0375088,14921.5,14994.704831592057,14987.38434843285,14890.0,14927.5,14870.0,15003.615908842683,False,False,1.0
2024-03-22 18:10:00,14900.0,14920.0,14880.0,14920.0,1460.37820244,21748057.0667969,14917.5,14980.703930590635,14974.383537531572,14900.0,14921.5,14900.0,14987.38434843285,False,False,1.0
2024-03-22 18:11:00,14910.0,14930.0,14900.0,14930.0,317.5526246,4734748.6165321,14914.0,14964.429732249311,14959.38675902438,14920.0,14917.5,14920.0,14974.383537531572,False,False,1.0
2024-03-22 18:12:00,14920.0,14920.0,14920.0,14920.0,86.64022439,1292672.1478988,14913.5,14963.45787699337,14958.462089294033,14930.0,14914.0,14930.0,14959.38675902438,False,False,1.0
2024-03-22 18:13:00,14920.0,14930.0,14910.0,14930.0,352.50974361,5262724.6014761,14912.0,14957.699245646203,14953.129321081582,14920.0,14913.5,14920.0,14958.462089294033,False,False,1.0
2024-03-22 18:14:00,14940.0,14950.0,14930.0,14930.0,278.61699185,4162787.926576,14911.0,14953.993267526812,14949.69394077413,14930.0,14912.0,14930.0,14953.129321081582,False,False,1.0
2024-03-22 18:15:00,14940.0,14950.0,14930.0,14950.0,689.72811021,10311313.2131869,14911.0,14953.993267526812,14949.69394077413,14950.0,14911.0,14930.0,14949.69394077413,False,True,0.9909318888260451
2024-03-22 18:16:00,14940.0,14960.0,14940.0,14960.0,100.42226917,1501599.6400082,14913.5,14961.742806935885,14956.918526242296,14950.0,14911.0,14950.0,14949.69394077413,False,True,1.0
2024-03-22 18:17:00,14980.0,14980.0,14970.0,14980.0,476.42963696,7136905.9616608,14918.5,14972.507796708102,14967.107017037291,14960.0,14913.5,14960.0,14956.918526242296,False,True,1.0
2024-03-22 18:18:00,14980.0,15010.0,14980.0,15010.0,2449.20322046,36713390.7010492,14925.0,14989.72614374587,14983.253529371283,14980.0,14918.5,14980.0,14967.107017037291,False,True,1.0
2024-03-22 18:19:00,15010.0,15010.0,15000.0,15000.0,19.98384878,299833.8803144,14929.5,15001.89511469415,14994.655603224735,15010.0,14925.0,15010.0,14983.253529371283,False,True,1.0
2024-03-22 18:20:00,15010.0,15010.0,15010.0,15010.0,60.12644903,902497.9999403,14934.5,15014.624902496042,15006.612412246437,15010.0,14929.5,15000.0,14994.655603224735,False,True,1.0
2024-03-22 18:21:00,15010.0,15010.0,15010.0,15010.0,507.73307549,7621073.4631049,14938.5,15025.38164968871,15016.693484719839,15010.0,14934.5,15010.0,15006.612412246437,False,True,1.0
2024-03-22 18:22:00,15010.0,15010.0,14980.0,14980.0,954.47877838,14304651.0407776,14942.0,15029.68364187596,15020.915277688364,15010.0,14938.5,15010.0,15016.693484719839,False,False,1.0
2024-03-22 18:23:00,14980.0,14980.0,14980.0,14980.0,66.75567423,999999.9999654,14944.5,15033.583048183615,15024.674743365253,15010.0,14942.0,14980.0,15020.915277688364,False,False,1.0
2024-03-22 18:24:00,14960.0,14960.0,14960.0,14960.0,348.43403368,5212573.1438528,14946.5,15035.061605082208,15026.205444573987,14980.0,14944.5,14980.0,15024.674743365253,False,False,1.0
2024-03-22 18:25:00,14960.0,14960.0,14960.0,14960.0,67.83172952,1014762.6736192,14948.5,15036.345558255744,15027.56100243017,14960.0,14946.5,14960.0,15026.205444573987,False,False,1.0
